Agency Name,Type of Agency,County,disqualifies_complaints,restricts_delays_interrogations,gives_officers_unfair_access_to_information,limits_oversight_discipline,requires_city_pay_for_misconduct,erases_misconduct_records,requires_deescalation,bans_chokeholds_and_strangleholds,duty_to_intervene,requires_warning_before_shooting,restricts_shooting_at_moving_vehicles,requires_comprehensive_reporting,requires_exhaust_all_other_means_before_shooting,has_use_of_force_continuum
Trinity County Sheriff's Department,Sheriff's Department,Trinity County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Tulare County Sheriff's Department,Sheriff's Department,Tulare County,1,1,1,0,0,1,0,0,1,1,0,0,0,0
Tuolumne Sheriff's Department,Sheriff's Department,Tuolumne County,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Turlock Police Department,Police Department,Stanislaus County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Tustin Police Department,Police Department,Orange County,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Union City Police Department,Police Department,Alameda County,1,1,1,1,0,0,1,0,1,1,0,0,0,0
Vacaville Police Department,Police Department,Solano County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Vallejo Police Department,Police Department,Solano County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Ventura County Sheriff's Department,Sheriff's Department,Ventura County,1,1,1,1,0,1,0,0,1,1,0,1,0,0
Ventura Police Department,Police Department,Ventura County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Visalia Police Department,Police Department,Tulare County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Walnut Creek Police Department,Police Department,Contra Costa County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
West Covina Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,1,0,1,1,0,0,0,0
Westminster Police Department,Police Department,Orange County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Whittier Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Yolo County Sheriff's Department,Sheriff's Department,Yolo County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Yuba County Sheriff's Department,Sheriff's Department,Yuba County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
