Urban area,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,College,High school,No high school,Has rapid transit
"Holland, MI",0.925297516,0.021122269,1140,0.95605655,0.860731378,900,0.4358,0.316233287,0.572333194,0.111433518,No
"Houma, LA",0.918066588,0.017711678,386,0.940681459,0.76571408,765,0.493,0.175989058,0.622147492,0.20186345,No
"Houston, TX",0.902074011,0.014212544,78111,0.811238632,0.864607826,1042,0.4909,0.332850844,0.49442414,0.172725015,Yes
"Huntington, WV--KY--OH",0.94271904,0.023265181,828,0.932033084,0.703236654,685,0.5175,0.234748041,0.654568847,0.110683112,No
"Huntsville, AL",0.928656312,0.010377515,9180,0.914078563,0.874463102,805,0.4628,0.448971371,0.473452261,0.077576368,No
"Idaho Falls, ID",0.913771269,0.023807879,765,0.927571095,0.841090182,803,0.433,0.317424931,0.603741876,0.078833193,No
"Indianapolis, IN",0.904955193,0.015157579,25193,0.915296214,0.84374806,905,0.4733,0.387737677,0.505852507,0.106409816,Yes
"Indio--Cathedral City, CA",0.883057612,0.012194249,1183,0.926362394,0.832403061,1100,0.5327,0.256240439,0.585871688,0.157887873,Yes
"Jackson, MI",0.921065765,0.034019075,492,0.943855919,0.841261922,713,0.5055,0.200634203,0.703105234,0.096260563,No
"Jackson, MS",0.953870277,0.011568339,3697,0.90131465,0.863242407,895,0.4579,0.336687447,0.555385982,0.107926572,No
"Jackson, TN",0.947742101,0.005085071,117,0.894493167,0.746299017,860,0.4985,0.258146122,0.619083656,0.122770222,No
"Jacksonville, FL",0.889118291,0.018507861,20707,0.888869953,0.839302712,1023,0.4717,0.30759283,0.59908622,0.093320949,Yes
"Janesville, WI",0.939857288,0.012883679,611,0.936184092,0.826669688,812,0.4045,0.233510484,0.694018746,0.07247077,No
"Johnson City, TN",0.917687001,0.026546755,1731,0.899122483,0.780638395,680,0.5083,0.310072019,0.581130781,0.1087972,No
"Jonesboro, AR",0.944054102,0.016950641,348,0.943214822,0.849080758,761,0.4737,0.287587693,0.601861617,0.11055069,No
"Joplin, MO",0.94170621,0.023445074,1138,0.904096823,0.779782524,772,0.4111,0.260747528,0.638386875,0.100865597,No
"Kailua (Honolulu County)--Kaneohe, HI",0.832935733,0.058284537,1041,0.967131504,0.865833359,2351,0.4076,0.393658875,0.572797691,0.033543434,No
"Kalamazoo, MI",0.903692704,0.028872452,2510,0.950082917,0.86811937,783,0.4709,0.404181756,0.532145572,0.063672673,No
"Kankakee, IL",0.917398634,0.022565286,338,0.934931907,0.777423446,790,0.4582,0.217760125,0.646873316,0.13536656,No
"Kansas City, MO--KS",0.917266081,0.012398385,34749,0.900560157,0.853420267,938,0.4647,0.382144775,0.52860139,0.089253836,Yes
"Kennewick--Pasco, WA",0.914865682,0.006536442,2282,0.910114913,0.838734691,947,0.4144,0.259141009,0.601950895,0.138908095,No
"Kenosha, WI--IL",0.930991382,0.0086343,1041,0.929539651,0.818633966,890,0.4542,0.271776829,0.626040793,0.102182378,Yes
"Killeen, TX",0.895470383,0.040919405,1189,0.87916585,0.880186316,924,0.4016,0.243393518,0.677290716,0.079315767,No
"Kingsport, TN--VA",0.913037232,0.009266132,639,0.922895685,0.757105832,616,0.5204,0.226631956,0.63070615,0.142661894,No
"Kissimmee, FL",0.914070873,0.007121012,3816,0.845873575,0.882633214,1253,0.4029,0.2308507,0.644080788,0.125068512,No
"Knoxville, TN",0.9107506,0.019441678,8168,0.926980702,0.832834631,841,0.4835,0.350060838,0.557848591,0.092090571,Yes
"La Crosse, WI--MN",0.9033025,0.040789034,1346,0.95633128,0.820750927,814,0.4459,0.319964715,0.606211312,0.073823972,No
"Lafayette, IN",0.830932064,0.078735472,2767,0.931883346,0.873794858,794,0.4708,0.426154936,0.497542689,0.076302375,No
"Lafayette, LA",0.918778737,0.014600307,1909,0.904347469,0.812825077,785,0.504,0.298574084,0.572854169,0.128571747,No
